"HolderAddress","Balance","PendingBalanceUpdate"
"0x96d753cfe7f1d720d51b7d5ff4b77071ce96d382","1917460948.52234","No"
"0x8378534c9103264a4cd5280feeb340590cc985c9","290024759.25573","No"
"0xc4ae2806974fa3de6f80509530a325ed5987ccfa","450308594.949895","No"
"0xa89cdb1600f90781b40cc2681af5b2290a939d07","72957164100.3334","No"
"0xdbaa3615953294ea5a26958807d3bf8dbf82be21","7894570.28161169","No"
"0x697a3b449271ce6ed61fe9f905c42557afb6a14e","3161238881.0828","No"
"0x2b54d5fe682153a01e593b1ab03e436491104bc9","3.724736481","No"
"0xc4f1587889c9439bff2b809f6a120ffab6f64e69","666262522.853114","No"
"0x59084e83e35057df77473a1e01e5efeaa998ad9c","107282423.86464","No"
"0x383db8cd5c756b4d0fed28c6ac3e58376e34d3fa","1103950589.52016","No"
"0x52647255875f3a07624751f8b214a1a5f0ccc7dd","156033753.084663","No"
"0xd5f34c12cb5fa5261fe2ace9217e0004b722b542","34570366.6234548","No"
"0x2f6f9615ed01482e0b5976956363aeaff45ed66c","15623527.184613","No"
"0x520f28d0aa6b9c61957e0eddb7118928932f4ac5","2211175867.82946","No"
"0x67f95d72e30a1c47d168744a5f0826a638b6f6fe","339588139.131418","No"
"0xe6953224261bcc5213fc81ab4629276643deb9a9","48425013.6981799","No"
"0x5cf8e146ebe284e57173b253dc43cc5e3a04b268","4139.53800314","No"
"0x910ad15f634aa73c3bad43bda4a79364e5a6654e","90547700.6738939","No"
"0xc8fdca15b5518a37819f6c1ae2df9e42692ec8e1","15852592.1929023","No"
"0x552f369b6e849fd638760d0795e15d90cab63d31","51159502.0275044","No"
"0xe034f216313c5d5cbda6554552d8828257f3ff01","1286544053.81035","No"
"0x160bcbf0df2613edbfce0e5e4940d0642024b458","2213725824.91275","No"
"0xb25924bd75cb69260523c82a68d240bf201961be","934560500128.285","No"
"0x607631c04fa0468907999574e1796c90822903d7","183996281.412976","No"
"0xaf356f082e13856e59c236e384a51a2ff1f18966","17831753.5544418","No"
"0x5b7bdf7e63aaa8b51e64395d5ccef5603df834fd","60752387.2072503","No"
"0x670524d406af955c099471aa318c99de880d90af","1658515.96507844","No"
"0xdb2b066409e6a8e6dfbf69625385fdc2615bee03","225428538.18767","No"
"0x982c8ce160241acbd5c30e2dd0a56aaf6b4f3baa","35089576.9778561","No"
"0x02a0ea5f8cb5318a10644ea54694757cbe59e8b3","28399743978.763","No"
"0x893085eaed58a4a7bd32cee8b6c80caf1d75f183","4818934.32594484","No"
"0x474b045c12232ffa1d28402906f1fee9e017f7b7","17286993.6741134","No"
"0xc4df72e45fce098958d390b031e5df5eb4d22b34","72322562.0396846","No"
